label,phase,epoch,loss,matrix,layer,head,shape,cond,eff_rank_50,spectral_entropy,norm_entropy,sv_max,sv_min,sv_mean
w64_ep7_m1,w64,7,6.092,Wo,5,-1,"(256, 256)",515.0236206054688,71,5.323376655578613,0.9600011377234177,2.024015426635742,0.003929946571588516,0.8498356938362122
w64_ep7_m1,w64,7,6.092,FFN_up,5,-1,"(1024, 256)",3.0596582889556885,101,5.511148929595947,0.9938634037910741,1.9472936391830444,0.6364415287971497,1.1880004405975342
w64_ep7_m1,w64,7,6.092,FFN_down,5,-1,"(256, 1024)",14.935260772705078,87,5.446695327758789,0.9822400423238365,3.4544079303741455,0.23129211366176605,0.6769284605979919
w64_ep7_m1,w64,7,6.092,Q,6,0,"(256, 64)",2.969219923019409,26,4.124835014343262,0.9918131699463634,2.928668737411499,0.9863428473472595,1.9291508197784424
w64_ep7_m1,w64,7,6.092,Q,6,1,"(256, 64)",2.7448902130126953,25,4.12330436706543,0.991445127073517,3.0010886192321777,1.0933364629745483,1.9346431493759155
w64_ep7_m1,w64,7,6.092,Q,6,2,"(256, 64)",2.9610207080841064,26,4.124758243560791,0.9917947104751708,2.9248180389404297,0.987773597240448,1.9314680099487305
w64_ep7_m1,w64,7,6.092,Q,6,3,"(256, 64)",2.959418773651123,26,4.123065948486328,0.9913877995232294,2.957071542739868,0.9992068409919739,1.9409539699554443
w64_ep7_m1,w64,7,6.092,K,6,0,"(256, 64)",2.918222188949585,26,4.1242475509643555,0.9916719148624548,2.929547071456909,1.0038807392120361,1.9450874328613281
w64_ep7_m1,w64,7,6.092,K,6,1,"(256, 64)",2.7524538040161133,26,4.124234199523926,0.9916687045196386,2.91916561126709,1.0605684518814087,1.9274667501449585
w64_ep7_m1,w64,7,6.092,K,6,2,"(256, 64)",2.6967735290527344,26,4.126142501831055,0.9921275542321406,2.925476312637329,1.0848060846328735,1.9394892454147339
w64_ep7_m1,w64,7,6.092,K,6,3,"(256, 64)",2.828186511993408,26,4.124218463897705,0.9916649209013196,2.948072671890259,1.0423897504806519,1.954030990600586
w64_ep7_m1,w64,7,6.092,V,6,0,"(256, 64)",2.8722333908081055,26,4.124493598937988,0.9917310768943516,2.919908285140991,1.0165985822677612,1.9395086765289307
w64_ep7_m1,w64,7,6.092,V,6,1,"(256, 64)",2.8637754917144775,26,4.124939441680908,0.9918382794133894,2.996306896209717,1.0462785959243774,1.9313539266586304
w64_ep7_m1,w64,7,6.092,V,6,2,"(256, 64)",2.8312771320343018,26,4.12562894821167,0.9920040706888211,2.9309356212615967,1.0351991653442383,1.9405831098556519
w64_ep7_m1,w64,7,6.092,V,6,3,"(256, 64)",2.835798740386963,26,4.123193264007568,0.991418412435083,2.956071376800537,1.042412281036377,1.9355230331420898
w64_ep7_m1,w64,7,6.092,Wo,6,-1,"(256, 256)",37681.921875,71,5.322571754455566,0.9598559843660894,2.0055387020111084,5.3222836868371814e-05,0.8549162149429321
w64_ep7_m1,w64,7,6.092,FFN_up,6,-1,"(1024, 256)",4.235193729400635,99,5.505395412445068,0.9928258324584187,2.571553945541382,0.6071868538856506,1.1762176752090454
w64_ep7_m1,w64,7,6.092,FFN_down,6,-1,"(256, 1024)",7.341904640197754,90,5.468820571899414,0.9862300398238537,2.399035930633545,0.32675933837890625,0.7187449336051941
w64_ep7_m1,w64,7,6.092,Q,7,0,"(256, 64)",2.917640209197998,26,4.124152183532715,0.9916489838423397,2.9652957916259766,1.0163335800170898,1.922400951385498
w64_ep7_m1,w64,7,6.092,Q,7,1,"(256, 64)",2.8682286739349365,26,4.1253485679626465,0.9919366534896829,2.9281985759735107,1.0209083557128906,1.9449039697647095
